usim	TF
01231322428 (2094)	100
01231322616 (2095)	100
01231322751 (2096)	100
01231321815 (2097)	100
01231322519 (2098)	100
01231322743 (2099)	100
01231322545 (2100)	100
01231322539 (2102)	100
01231322122 (2103)	100
01231322703 (2104)	100
01231322834 (2105)	100
01231322066 (2106)	100
01231322436 (2107)	100
01231322768 (2108)	100
01231322593 (2109)	100
01231322584 (2110)	100
01231322758 (2111)	100
01231322628 (2112)	100
01231322663 (2113)	100
01231322723 (2114)	100
01231322543 (2115)	100
01231322423 (2116)	100
01231322733 (2117)	100
01231322669 (2118)	100
01231322417 (2119)	100
01231322625 (2120)	100
01227721254 (2122)	100
01231322754 (2123)	100
01231322221 (2124)	100
01231300170 (2125)	100
01231322523 (2126)	100
01231322706 (2127)	100
01231322474 (2128)	100
01231322371 (2129)	100
01231322394 (2130)	100
01231322776 (2131)	100
01231322772 (2132)	100
01231321436 (2135)	100
01231322657 (2136)	100
01231322797 (2137)	100
01227587476 (2138)	251.334445
01227587432 (2139)	251.334445
01231307613 (2140)	100
01231321856 (2141)	100
01231316327 (2142)	100
01231315939 (2143)	100
01231321407 (2144)	100
01231321215 (2145)	100
01231316399 (2146)	100
01231300520 (2147)	100
01231322399 (2148)	100
01227509941 (2149)	251.334445
01231320840 (2150)	100
01231322460 (2151)	100
01231322509 (2152)	100
01231322732 (2153)	100
01231322352 (2154)	100
01231322133 (2155)	100
0123132774 (2156)	100
01231322774 (2157)	100
01231300230 (2158)	100
01231322430 (2159)	100
01231322770 (2160)	100
01231322217 (2161)	100
01231300181 (2162)	100
01231322245 (2163)	100
01231322357 (2164)	100
01231322761 (2165)	100
01231322350 (2166)	100
01231322769 (2167)	100
01231322445 (2168)	100
01231322435 (2169)	100
01231321908 (2170)	100
01231322786 (2171)	100
01231300624 (2172)	100
01231322372 (2173)	100
01231322828 (2174)	100
01231322756 (2175)	100
01231322788 (2176)	100
01231322678 (2178)	100
01231322074 (2179)	100
0123322785 (2180)	100
01231322597 (2181)	100
01231322660 (2182)	100
01231322716 (2183)	100
01231322587 (2184)	100
01231322403 (2185)	100
01231322748 (2186)	100
01231322835 (2187)	100
01231322638 (2188)	100
01231322573 (2189)	100
01231322637 (2190)	100
01231322497 (2191)	100
01231322693 (2192)	100
01231322636 (2193)	100
01231322596 (2194)	100
01231322627 (2195)	100
01231322685 (2196)	100
01231300145 (2197)	100
01231322554 (2198)	100
01231322814 (2200)	100
01231300225 (2201)	100
01227729734 (2202)	100
01231322742 (2203)	100
01227587994 (2204)	100
01231322353 (2205)	100
01231322152 (2206)	100
01231322228 (2207)	100
01231322355 (2208)	100
01231322820 (2209)	100
01231321885 (2210)	100
01231322845 (2211)	100
01231322268 (2212)	100
01231322383 (2213)	100
01227587676 (2214)	251.334445
01231322665 (2215)	100
01227702919 (2216)	100
01231321894 (2217)	100
01231300148 (2218)	100
01231322618 (2219)	100
01231300251 (2220)	100
01231322512 (2221)	100
01231322557 (2222)	100
01231322226 (2223)	100
01231322520 (2224)	100
01231300142 (2225)	100
01231322552 (2226)	100
01231322581 (2227)	100
01231322752 (2228)	100
01231300238 (2229)	100
01231322687 (2230)	100
01231322530 (2231)	100
01231322615 (2232)	100
01231321954 (2233)	100
01231321816 (2234)	100
01231321990 (2235)	148.2752205
01231321553 (2236)	100
01231322206 (2237)	107.9654651
01231322155 (2238)	100
01231322070 (2239)	224.0718316
01231321768 (2240)	238.3353154
01231322163 (2241)	112.9482847
01231322117 (2242)	100
01231321739 (2243)	100
01231321762 (2244)	100
01231321578 (2245)	100
01231321973 (2246)	100
01231321982 (2247)	100
01231322172 (2248)	127.028375
01231322173 (2249)	100
01231322211 (2251)	100
01231322203 (2252)	125.0296967
01231321911 (2253)	100
01231321921 (2254)	147.6230393
01231322132 (2255)	125.7313726
01231322019 (2256)	177.6312787
01231321863 (2257)	100
01231322041 (2258)	115.1022634
01231321941 (2259)	267.2538611
01231321505 (2260)	100
01231321719 (2261)	100
01231321813 (2262)	100
01231321984 (2263)	100
01231300555 (2265)	100
01231300568 (2266)	100
01231300498 (2267)	100
01231300236 (2268)	100
01231300593 (2269)	100
01231300563 (2270)	100
01231300195 (2271)	100
01231300552 (2272)	100
01231300565 (2273)	100
01227587751 (2275)	100
01231315851 (2276)	100
01231307929 (2280)	100
01227587814 (2281)	100
01231324552 (2282)	100
01227588057 (2284)	281.7334146
01231322734 (2285)	100
01231300030 (2287)	225.5263734
01231300045 (2289)	221.4014376
01231300197 (2290)	100
01231326028 (2291)	100
01227583377 (2292)	100
01231326103 (2293)	100
01231326137 (2294)	100
01231321991 (2295)	100
01227721404 (2296)	100
01231300040 (2297)	100
01231322813 (2298)	100
01231321899 (2299)	100
01231321971 (2300)	100
01231321897 (2301)	100
01231321499 (2302)	100
01231321837 (2303)	100
01231321714 (2304)	100
01231321937 (2305)	100
01231321780 (2306)	100
01231321734 (2307)	100
01231321955 (2308)	100
01231321912 (2309)	100
01231321916 (2310)	100
01231321901 (2311)	100
01231321652 (2312)	100
01231321736 (2313)	100
01231321862 (2314)	100
01231323080 (2315)	100
01231321669 (2316)	100
01231323142 (2317)	104.2048017
01231322199 (2318)	113.2646479
01227588023 (2319)	100
01231322320 (2320)	100
01231322947 (2321)	100
01231300404 (2322)	100
01231300359 (2323)	100
01231300361 (2324)	123.1033182
01231323121 (2325)	179.0778888
01231300157 (2326)	224.7346789
01227721464 (2327)	251.6142603
01231300307 (2328)	306.379542
01231300420 (2329)	100
01231323145 (2330)	100
01227587932 (2331)	277.3255215
01231322293 (2332)	231.0732387
01231322561 (2333)	100
01231322440 (2334)	189.7386709
01231322737 (2335)	181.205614
01231323124 (2336)	178.3397999
01231320249 (2337)	161.1577996
01231321980 (2338)	179.0778888
01231300428 (2339)	138.4023872
01231300467 (2340)	100
01231322012 (2341)	179.0778888
01231321852 (2343)	251.6142603
01231322050 (2344)	306.379542
01231321593 (2345)	100
01231321994 (2346)	306.379542
01231321502 (2347)	100
01231321846 (2348)	100
01231321494 (2349)	100
01231321551 (2351)	100
01231321748 (2352)	100
01231321823 (2353)	100
01231321697 (2354)	100
01231321832 (2355)	100
01231321702 (2356)	100
01231321524 (2357)	100
01231321679 (2358)	100
01231321650 (2359)	100
01231321649 (2360)	100
01231321718 (2361)	100
01231322174 (2362)	100
01231321822 (2363)	100
01231321594 (2364)	100
01231321753 (2365)	100
01231321725 (2366)	100
01231320850 (2367)	100
01231321845 (2368)	100
01231321659 (2369)	100
01231321501 (2370)	100
01231321629 (2371)	100
01231321819 (2372)	100
01231316384 (2373)	100
01231316111 (2374)	121.1511004
01231321909 (2375)	247.7643519
01231316183 (2376)	247.7643519
01231316453 (2377)	247.7643519
01231316383 (2378)	247.7643519
01231322083 (2380)	244.1831549
01231321870 (2381)	220.3955888
01231321558 (2382)	207.0351069
01231322131 (2383)	202.1859171
01231322030 (2384)	194.4451168
01231322063 (2385)	181.1804219
01231322046 (2386)	249.2956072
01231316079 (2387)	100
01231322099 (2388)	152.4951796
01231322160 (2389)	214.6493446
01231322037 (2390)	197.0611452
01231322055 (2391)	194.1370847
01231322128 (2392)	187.0887533
01231321665 (2393)	172.7537196
01231321891 (2394)	120.78854
01231321946 (2395)	100
01231321933 (2396)	100
01231322017 (2397)	100
01231322009 (2398)	100
01231322029 (2399)	100
01231321522 (2400)	100
01231322760 (2401)	100
01231321737 (2402)	100
01231321688 (2403)	100
01231322005 (2404)	100
01231316451 (2405)	100
01231324489 (2406)	251.334445
01231316202 (2407)	100
01231322683 (2408)	180.8470495
01231316442 (2409)	100
01231316217 (2410)	130.0523628
01231316414 (2411)	171.6417155
01231322676 (2412)	179.0797395
01231316051 (2413)	199.6127051
01231316396 (2414)	218.7607568
01231316289 (2415)	234.6304815
01231316319 (2416)	251.0525093
01231316090 (2417)	271.787151
01231316427 (2418)	100
01231322670 (2419)	176.7623539
01231322599 (2420)	174.1208832
01231322425 (2421)	170.675568
01231300445 (2422)	166.7719746
01231300344 (2423)	154.5131767
01231300326 (2424)	138.4103822
01231321479 (2425)	100
01231300322 (2426)	107.233801
01231322071 (2427)	260.9582746
01231321802 (2428)	206.3042445
01231322045 (2429)	100
01227509952 (2430)	100
01231321804 (2431)	182.9070128
01231322058 (2432)	225.5980218
01231316431 (2433)	181.8402507
01231321700 (2434)	179.8278774
01231321818 (2435)	176.9482788
01231322824 (2436)	100
01231321772 (2437)	172.5245892
01231322898 (2438)	100
01231323055 (2440)	100
01231321614 (2441)	100
01231316456 (2442)	211.8031491
01231321803 (2443)	168.2782119
01231323013 (2444)	100
01231323131 (2445)	100
01231321787 (2446)	151.9722983
01231322094 (2447)	196.0659633
01231321808 (2448)	124.5089531
01231321793 (2449)	100
01231316390 (2450)	165.5446825
01231315647 (2451)	100
01231316220 (2452)	101.947542
01231321817 (2453)	100
01231321518 (2454)	100
01231321689 (2455)	100
01231321027 (2456)	100
01231316424 (2457)	305.1464008
01231323031 (2458)	100
01231316078 (2459)	305.1464008
01231316173 (2460)	273.2816726
01231316344 (2461)	245.0747911
01231316341 (2462)	221.5107095
01231315533 (2463)	184.5717731
01231316295 (2464)	119.1983803
01231321023 (2465)	100
01231321585 (2466)	276.1579136
01231322040 (2467)	243.9214134
01231321896 (2468)	204.5760779
01231321589 (2469)	154.624768
01231321528 (2470)	154.624768
01231322027 (2471)	100
01231321866 (2472)	100
01231322004 (2473)	285.6028569
01231322025 (2474)	225.8266981
01231321824 (2475)	137.7747475
01231322008 (2476)	100
01231321677 (2478)	100
01231323007 (2480)	100
01231321258 (2481)	100
01231321950 (2482)	107.6950854
01231315916 (2483)	100
01231321801 (2484)	201.3471449
01231321380 (2485)	100
01231321373 (2486)	100
01231321437 (2487)	100
01231321281 (2488)	100
01231321433 (2489)	100
01231321483 (2490)	100
01231320898 (2491)	100
01231316401 (2492)	100
01231316032 (2493)	100
01231321565 (2494)	100
01231321452 (2495)	100
01231321564 (2496)	100
01231321493 (2497)	100
01231321979 (2498)	232.8988683
01231321577 (2499)	100
01231322980 (2500)	100
01231322958 (2501)	100
01231322955 (2502)	100
01231322747 (2503)	100
01231322744 (2504)	119.0114791
01231322741 (2505)	145.7992828
01231322727 (2506)	161.6380587
01231322590 (2507)	169.9827548
01231322516 (2508)	173.9329529
01231322480 (2509)	177.4071958
01231322210 (2510)	179.8278774
01231322000 (2511)	181.6358101
01227723452 (2512)	182.8351056
01231321461 (2513)	100
01231321754 (2514)	228.8784525
01231321455 (2515)	247.9746009
01231300292 (2517)	100
01231300405 (2518)	308.2340438
01231300451 (2519)	287.346078
01231300470 (2520)	199.8437859
01231300462 (2521)	195.5728042
01231300401 (2522)	100
01231300430 (2523)	191.5181279
01231300270 (2524)	182.7549425
01231300291 (2525)	164.3361542
01231300010 (2526)	114.9184482
01231321799 (2527)	100
01231321947 (2528)	100
01231321963 (2529)	100
01231321710 (2530)	100
01231321786 (2531)	100
01231322031 (2532)	217.9196903
01231321783 (2533)	100
01231321644 (2534)	129.5579809
01231321500 (2535)	100
01231321992 (2536)	205.5093401
01231321742 (2537)	201.1739055
01231321842 (2538)	194.006006
01231321731 (2539)	181.6060269
01231321776 (2540)	157.1708902
01231322150 (2541)	223.9119072
01231322062 (2542)	181.6060269
01231321788 (2543)	129.5579809
01231321796 (2544)	173.9329529
01231321960 (2545)	100
01231321760 (2546)	178.2452832
01231321910 (2547)	188.6117399
01231321646 (2548)	181.1598243
01231321225 (2549)	182.6862979
01231321761 (2550)	182.7595333
01231321809 (2551)	185.9026542
01231316222 (2552)	100
01231322014 (2553)	140.1123129
01231316035 (2554)	100
01231315863 (2555)	100
01231316129 (2556)	100
01231316361 (2557)	100
01231321893 (2558)	100
01231321319 (2559)	100
01231316385 (2560)	100
01231316163 (2561)	100
01231322084 (2562)	100
01231316374 (2563)	100
01231321859 (2564)	100
01231322129 (2565)	100
01231321833 (2566)	100
01231316256 (2567)	100
01231316407 (2568)	100
01231316354 (2569)	100
01231316340 (2570)	100
01231321290 (2571)	100
01231316151 (2572)	100
01231322911 (2573)	100
01227723733 (2574)	100
01231323112 (2575)	100
01231323018 (2576)	100
01231321790 (2577)	100
01231322728 (2578)	100
01231322799 (2579)	100
01231322725 (2580)	100
01231322713 (2581)	100
01231323051 (2582)	100
01231323119 (2583)	100
01231323133 (2584)	100
01231322582 (2585)	100
01231312855 (2586)	100
01231323076 (2587)	100
01231312793 (2588)	100
01231300184 (2589)	100
01231316438 (2590)	100
01231321751 (2592)	100
01231321724 (2593)	100
01231321490 (2594)	129.5434897
01231321759 (2595)	172.819797
01231321641 (2596)	204.554414
01231321987 (2597)	232.7379024
01231321945 (2598)	255.8250035
01231321927 (2599)	281.2319554
01231321884 (2600)	100
01231300304 (2601)	100
01231300147 (2602)	100
01231300053 (2603)	100
01227587728 (2604)	100
01231300295 (2605)	100
01230300023 (2606)	100
01231300319 (2607)	100
01231300200 (2608)	100
01231300212 (2609)	100
01231300247 (2610)	100
01231316282 (2611)	100
01231300243 (2612)	251.334445
01231300178 (2613)	100
01231300162 (2614)	100
01231300298 (2615)	100
01227587997 (2616)	100
01231300186 (2617)	100
01231316261 (2618)	100
01227722346 (2619)	100
01231321221 (2620)	100
01231323043 (2621)	100
01231322393 (2622)	100
01231322902 (2623)	100
01231323001 (2624)	100
01231322957 (2625)	100
01231322978 (2626)	100
01227722316 (2627)	100
01231322934 (2628)	100
01231322971 (2629)	100
01231323017 (2630)	100
01231323020 (2631)	100
01231322892 (2632)	100
01231322766 (2633)	100
01231322840 (2634)	100
01227717464 (2635)	100
01231322513 (2636)	100
01231322825 (2637)	100
01231322935 (2638)	100
01231322680 (2639)	100
01231316273 (2640)	100
01231321888 (2641)	225.5980218
01231315997 (2642)	211.8031491
01231316412 (2643)	196.0659633
01231316373 (2644)	165.5446825
01231316264 (2645)	101.947542
01231323103 (2646)	100
01231322855 (2647)	100
01231322793 (2648)	100
01231300023 (2649)	100
01231316258 (2650)	100
01231322053 (2651)	204.1182507
01231321680 (2652)	200.794085
01231322060 (2653)	194.7422162
01231321956 (2654)	185.6813456
01231321940 (2655)	169.8311388
01231321989 (2656)	136.5609166
01231321681 (2657)	100
01231316350 (2658)	100
01231322035 (2659)	100
01231321968 (2660)	100
01231322069 (2661)	100
01231322953 (2662)	100
01231316515 (2663)	100
01231321442 (2664)	100
01231316094 (2665)	100
01231315962 (2666)	144.9796028
01231315843 (2667)	117.9589866
01231316054 (2668)	100
01231315799 (2669)	113.6014179
01231316027 (2670)	198.4251457
01231316049 (2671)	126.7127561
01231315790 (2672)	174.3268625
01231316276 (2673)	148.1763271
01231322453 (2674)	126.5164057
01231316084 (2675)	108.9150683
01231315477 (2676)	100
01231322387 (2677)	100
01231316198 (2678)	148.3549118
01231316365 (2679)	100
01227587374 (2680)	100
01231316317 (2681)	100
01231316022 (2682)	143.5006344
01231316288 (2683)	100
01231322038 (2684)	100
01231321657 (2685)	129.3439899
01231315958 (2686)	161.7428803
01231316312 (2687)	161.7428803
01231321827 (2688)	100
01231322209 (2689)	107.9654651
01231322272 (2690)	100
01227587358 (2691)	100
01227587372 (2692)	109.3533753
01227587864 (2693)	115.7545751
01227587653 (2694)	100
01227587910 (2695)	100
01227587089 (2696)	100
01231322909 (2697)	100
01231322065 (2698)	110.7340063
01231322147 (2699)	100
01231300336 (2700)	100
01227587164 (2701)	100
01227587603 (2702)	100
01231321886 (2703)	100
01227587680 (2704)	100
01227587659 (2705)	100
01227587804 (2706)	100
01227587730 (2707)	111.3258924
01227587650 (2708)	100
01227587567 (2709)	100
01231321468 (2710)	100
01231321393 (2711)	100
01231321569 (2712)	100
01231321354 (2713)	100
01231320755 (2714)	100
01231314720 (2715)	100
01231315645 (2716)	122.1196931
01227587577 (2717)	111.4841249
01231316348 (2718)	100
01231316232 (2719)	158.8967671
01231321792 (2720)	100
01231322105 (2721)	100
01227587491 (2722)	100
01231322036 (2723)	122.1196931
01231322548 (2724)	100
01231316092 (2726)	117.7646814
01231321497 (2727)	100
01231321175 (2728)	100
01231321325 (2729)	100
01231321667 (2730)	100
01227587208 (2731)	100
01231321671 (2732)	100
01231321545 (2733)	100
01231321109 (2734)	100
01231321148 (2735)	100
01231321417 (2736)	100
01231321491 (2737)	100
01231321259 (2738)	100
01231315943 (2739)	100
01227587262 (2740)	100
01231321204 (2741)	100
01231321453 (2742)	100
01231321631 (2743)	100
01231322061 (2744)	100
01231321534 (2745)	100
01231321244 (2746)	100
01231322075 (2747)	133.6068995
01231316043 (2748)	100
01231321621 (2749)	100
01231321627 (2750)	100
01231316066 (2751)	112.1389959
01231321988 (2752)	100
01231322195 (2753)	100
01231315809 (2754)	125.0296967
01227587551 (2755)	100
01231315928 (2756)	113.0166521
01231316121 (2757)	100
01231322556 (2758)	100
01231321421 (2759)	100
01231316080 (2760)	100
01231321520 (2761)	100
01231322034 (2762)	100
01231321598 (2763)	100
01231322090 (2764)	100
01231322427 (2765)	100
01231322149 (2766)	117.7646814
01231315867 (2767)	100
01231321972 (2768)	100
01231316061 (2769)	133.6068995
01231321904 (2770)	100
01231321576 (2771)	100
01231321573 (2772)	100
01221321708 (2773)	100
01231321773 (2775)	100
01231321625 (2776)	100
01231315744 (2777)	100
01231315899 (2778)	100
01231322093 (2779)	100
01231316047 (2780)	100
01231322125 (2781)	100
01231315972 (2782)	100
01231322462 (2783)	100
01231322170 (2784)	100
01231321844 (2785)	100
01231315302 (2786)	100
01231315926 (2787)	100
01231316225 (2788)	100
01231316331 (2789)	132.5256819
01231315920 (2790)	100
01231316059 (2791)	174.5645392
01231322510 (2792)	111.4841249
01231315839 (2793)	120.9201233
01231316201 (2794)	116.9806366
01231315936 (2795)	100
01231316207 (2796)	147.0037272
01231316380 (2797)	100
01231316304 (2798)	172.0241604
01231316098 (2799)	104.0969252
01231315804 (2800)	100
01231322602 (2802)	100
01231322002 (2803)	100
01231316083 (2804)	145.9514014
01231315668 (2805)	100
01231315527 (2806)	100
01231315611 (2807)	126.7127561
01231316195 (2808)	111.4841249
01231316063 (2809)	100
01227587632 (2810)	130.703417
01231322072 (2811)	100
01231316336 (2812)	100
01231321716 (2813)	100
01231321609 (2814)	100
01231322442 (2816)	100
01231322067 (2817)	100
01231322148 (2818)	119.4774917
01231316077 (2820)	100
01231321590 (2821)	100
01231322833 (2822)	100
01231322832 (2823)	100
01231322564 (2824)	100
01231316075 (2825)	100
01231322496 (2826)	100
01227587611 (2827)	100
01231322937 (2828)	123.8981158
01231322773 (2829)	108.1638522
01231322927 (2830)	100
01231316247 (2831)	100
01227587672 (2832)	144.9796028
01231315343 (2833)	230.3690958
01231322280 (2834)	100
01231323077 (2835)	116.6667225
01231322846 (2836)	100
01227500783 (2837)	100
01227587812 (2838)	100
01231316215 (2839)	113.6014179
01231300161 (2841)	100
01227729699 (2842)	100
01231322946 (2844)	112.1389959
01231321678 (2845)	100
01231316369 (2846)	147.0037272
01227587729 (2847)	100
01227587321 (2848)	100
01231322103 (2849)	100
01231323066 (2850)	143.5006344
01231322975 (2851)	126.4523635
01231322932 (2852)	198.4251457
01227587427 (2853)	146.134941
01227587457 (2854)	100
01231322987 (2855)	100
01231316065 (2856)	100
01231321923 (2857)	100
01227587779 (2858)	100
01231316024 (2860)	100
01231321934 (2861)	156.5504134
01231321880 (2862)	100
01227587701 (2863)	100
01231322111 (2864)	112.1389959
01231323042 (2865)	100
01231321695 (2866)	110.8523804
01231322945 (2867)	100
01231321855 (2868)	100
01231322006 (2869)	100
01231322026 (2871)	100
01231321715 (2872)	117.9756828
01231321081 (2873)	161.7428803
01231322185 (2874)	100
01231322136 (2875)	127.5162101
01227587589 (2876)	100
01231316015 (2877)	100
01231322101 (2878)	100
01231316105 (2879)	161.7428803
01231321355 (2880)	100
01227587248 (2881)	100
01227587945 (2882)	100
01231322862 (2883)	109.2021854
01231316138 (2884)	100
01231316309 (2885)	133.6068995
01231315419 (2886)	100
01231321791 (2887)	100
01231315758 (2888)	139.4234954
01227587484 (2889)	100
01231321966 (2890)	100
01231316178 (2891)	100
01227587511 (2892)	112.5374972
01227587479 (2893)	100
01231316127 (2894)	161.7428803
01231321769 (2895)	100
01231322119 (2896)	123.8981158
01231321864 (2897)	144.9796028
01227587648 (2898)	100
01231315751 (2899)	103.3341988
01231321795 (2900)	110.4827874
01231315907 (2901)	100
01231321256 (2902)	100
01231322079 (2903)	100
01231321504 (2904)	100
01231315986 (2905)	100
01227500358 (2906)	143.5006344
01231316082 (2907)	107.9654651
01231321423 (2908)	147.6230393
01231315794 (2909)	100
01231315855 (2910)	123.1033182
01231321607 (2911)	103.0651876
01231315729 (2912)	100
01231321482 (2913)	100
01231321961 (2914)	100.3974729
01231322361 (2915)	124.5312029
01231321488 (2916)	100
01231316205 (2917)	100
01231316141 (2918)	124.7910193
01231316006 (2919)	125.7313726
01231316263 (2921)	100
01231316007 (2922)	174.3268625
01231316208 (2923)	100
01231322691 (2924)	129.0799631
01231321919 (2925)	100
01231316175 (2926)	176.1391026
01231322419 (2927)	129.0799631
01231316052 (2928)	147.6230393
01231322011 (2929)	100
01231316060 (2930)	145.9514014
01231322959 (2931)	169.1865128
01231322709 (2932)	100
01227587592 (2933)	100
01231315988 (2934)	100
01231314742 (2935)	148.2615536
01231315817 (2936)	100
01231315858 (2937)	100
01231316224 (2938)	100
01231322043 (2939)	102.9577434
01231321778 (2940)	100
01231316330 (2941)	112.0696531
01231315973 (2942)	100
01231316174 (2943)	119.008679
01231315937 (2944)	100
01231322974 (2945)	100
01231316081 (2946)	100
01231322966 (2947)	100
01227587861 (2948)	100
01231321977 (2949)	100
01227587391 (2950)	110.044104
01227587461 (2951)	115.7545751
01227587594 (2952)	100
01227500385 (2953)	158.8967671
01227587555 (2954)	100
01231321981 (2955)	100
01227579147 (2956)	169.1865128
01227587765 (2957)	100
01231316064 (2959)	101.8604699
01231322499 (2960)	100
01231322042 (2961)	100
01227587644 (2962)	146.134941
01231320732 (2963)	100
01227587744 (2964)	100
01231322056 (2966)	100
01227587794 (2967)	116.9806366
01227587568 (2968)	110.1801673
01231321924 (2969)	100
01227587138 (2970)	100
01227587802 (2971)	100
01227587718 (2972)	147.0037272
01231314733 (2973)	100
01231322032 (2974)	100
01227587187 (2975)	114.3167521
01227587694 (2976)	100
01231315653 (2977)	146.134941
01231315982 (2978)	100
01227587954 (2979)	100
01227587541 (2980)	100
01231316139 (2981)	100
01231322077 (2982)	100
01231321574 (2983)	100
01231321547 (2984)	100.6327387
01227587542 (2985)	100
01227587586 (2986)	100
01231321613 (2987)	111.4841249
01231300108 (2988)	100
01231321426 (2989)	100
01231322288 (2990)	100
01231316376 (2991)	100
01227587647 (2992)	105.7573874
01231322023 (2993)	100
01231321931 (2994)	100
01231316230 (2995)	100
01227587691 (2996)	126.4523635
01231322505 (2997)	100
01231316029 (2998)	108.9150683
01227587640 (2999)	116.0328959
01231322153 (3000)	100
01227587775 (3001)	125.0296967
01231315389 (3002)	100
01227587628 (3003)	100
01231322318 (3004)	100
01231316130 (3005)	111.9175172
01231321645 (3006)	127.028375
01231316170 (3007)	141.660958
01231322142 (3009)	100
01231321486 (3010)	165.7694358
01231315530 (3011)	121.1511004
01231321779 (3012)	100
01231321575 (3014)	123.1033182
01227587478 (3015)	100
01231315955 (3016)	100.9649943
01227587367 (3017)	216.3044845
01223132184 (3018)	142.9379139
01231320969 (3020)	100
01231321617 (3021)	168.8141489
10231316186 (3022)	109.1841534
01231316162 (3023)	112.033438
01231315764 (3024)	100
01231322091 (3025)	100
01231322081 (3026)	109.1841534
01231316234 (3027)	103.034278
01231315581 (3028)	100
01231322120 (3029)	100
01231315914 (3030)	132.0902241
01231315885 (3031)	109.2021854
01231322563 (3032)	100
01231316252 (3033)	159.7198364
01231322021 (3034)	103.034278
01231321873 (3035)	178.470132
01231321797 (3037)	100
01231316020 (3038)	100
01231321869 (3040)	123.1033182
01231322088 (3041)	128.5777605
01231322039 (3042)	175.6121661
01231321914 (3043)	100
01231321789 (3044)	100
01231320978 (3045)	100
01231316019 (3046)	100
01231321926 (3047)	143.5006344
01231321974 (3048)	111.730047
01231322396 (3049)	100
01231321519 (3050)	100
01231322919 (3051)	177.6312787
01231321728 (3052)	100
01231322722 (3053)	124.4154742
01231300450 (3054)	100
01227587556 (3055)	139.4234954
01231315637 (3056)	100
01231315828 (3057)	100
01231321965 (3058)	103.9881785
01231321053 (3059)	100
01231316056 (3060)	100
01231321336 (3061)	100
01227587787 (3062)	100
01227587014 (3063)	100
01231321915 (3064)	100
01231316120 (3065)	120.9201233
01227587512 (3066)	100
01227587523 (3067)	108.9079369
01231322533 (3068)	109.1841534
01231321861 (3069)	176.1391026
01227587619 (3070)	100
01231322323 (3071)	116.6667225
01231316041 (3072)	128.1272622
01231321334 (3073)	100
01231315880 (3074)	107.9654651
01231315889 (3075)	100
01231316283 (3076)	178.1739747
01231316271 (3077)	100
0123131519 (3078)	100
01231321871 (3079)	100
01231322104 (3080)	100
01231321606 (3081)	100
01231316117 (3082)	100
01231316037 (3083)	100
01231322263 (3085)	100
01231316210 (3086)	125.7313726
01231321938 (3087)	110.1801673
01231315686 (3088)	100
01231315946 (3089)	100
01231322143 (3090)	100
01231322078 (3091)	100
01231315803 (3092)	124.5312029
01231322200 (3093)	100
01231321867 (3094)	100
01231321395 (3095)	100
01227587162 (3096)	100
01227587922 (3097)	100
01227587707 (3098)	165.7694358
01227587780 (3099)	100
01231322107 (3100)	130.1924159
01231322018 (3101)	123.8981158
01231315853 (3102)	100
01231315979 (3103)	100.0441734
01227587465 (3104)	100
01231321820 (3105)	191.7528541
01227587903 (3106)	100
01231322080 (3107)	100
01231315761 (3109)	141.660958
01231321539 (3110)	100
01231322753 (3111)	177.6312787
01231323024 (3112)	100
01231322929 (3113)	100
01227587516 (3114)	141.660958
01227587487 (3115)	100
01231322750 (3116)	168.8141489
01227587740 (3119)	127.028375
01231326026 (3120)	125.9887888
01227587686 (3121)	100
01231321674 (3122)	100
01227587041 (3123)	134.177128
01227500747 (3124)	100
01231315915 (3125)	110.5803021
01231322412 (3126)	177.6312787
01231300488 (3127)	177.7182921
01231322673 (3128)	161.7428803
01231322102 (3129)	100
01231322424 (3130)	100
01231315789 (3131)	100
01231321943 (3132)	100
01231321582 (3133)	215.6908544
01227587281 (3134)	100
01227587722 (3135)	100
01231316087 (3136)	111.9175172
01231322098 (3137)	100
01231321628 (3138)	100
01231321610 (3139)	125.9178965
01231321302 (3140)	147.0037272
01227587171 (3141)	118.3044295
01231316068 (3142)	100
01227587566 (3143)	100
01231316226 (3144)	100
01227587505 (3145)	100
01227587284 (3146)	100
01227587294 (3147)	100
01227587857 (3148)	115.1418159
01227587733 (3149)	100
01227587952 (3150)	147.0037272
01227587381 (3151)	100
01227587727 (3152)	234.4795132
01231322044 (3153)	100
01227587677 (3154)	100
01231322866 (3155)	196.4360849
01231316284 (3156)	100
01231322380 (3157)	100
01231321800 (3162)	100
01231321418 (3165)	106.9178981
01231322260 (3166)	106.9178981
01231322189 (3167)	106.9178981
01231321874 (3168)	106.9178981
01231322016 (3169)	308.4581467
01231321556 (3170)	308.4581467
01227587463 (3172)	251.334445
01227587837 (3173)	251.334445
01227587795 (3174)	251.334445
01227587797 (3175)	251.334445
01227587237 (3176)	251.334445
01231321865 (3218)	100
01231321169 (3219)	100
01231322085 (3220)	174.3268625
01231321745 (3221)	100
01231321347 (3222)	100
01231322220 (3223)	100
01231322171 (3224)	100
01231321690 (3225)	100
01231321806 (3226)	100
01231322182 (3227)	100
01231321389 (3228)	100
01231321835 (3229)	100
01231322151 (3230)	100
01231321247 (3231)	100
01231321733 (3232)	100
01231322216 (3233)	100
01231322068 (3234)	100
01231321670 (3235)	100
01231321840 (3236)	100
01231322438 (3237)	100
01231321763 (3238)	100
01231321541 (3239)	100
